"Code","Name","Awaiting completion of assessment","Awaiting public funding","Awaiting further NHS non-acute care","Awaiting residential home placement or availability","Awaiting nursing home placement or availability","Awaiting care package in own home","Awaiting community equipment and adaptations","Patient or family choice","Disputes","Housing - Patients not covered by NHS and Community Care Act","Other","Total Delayed Transfers of Care","Period"
"407","Coventry","86","0","181","94","147","409","13","76","0","30",NA,"1036","November 2012"
"721","Croydon","106","60","0","7","0","10","0","47","14","0",NA,"244","November 2012"
"102","Cumbria","437","99","720","278","554","76","27","57","53","54",NA,"2355","November 2012"
"117","Darlington","306","0","140","0","5","12","8","75","0","0",NA,"546","November 2012"
"507","Derby","207","13","24","34","76","33","15","108","34","28",NA,"572","November 2012"
"506","Derbyshire","275","71","169","189","214","319","140","397","0","27",NA,"1801","November 2012"
"912","Devon","243","153","1189","207","52","150","57","316","30","19",NA,"2416","November 2012"
"205","Doncaster","0","22","6","14","49","0","87","55","0","58",NA,"291","November 2012"
"809","Dorset","87","194","176","482","179","119","11","61","0","30",NA,"1339","November 2012"
"408","Dudley","269","24","37","125","143","119","15","226","7","7",NA,"972","November 2012"
"116","Durham","442","49","252","154","56","119","64","244","0","60",NA,"1440","November 2012"
"722","Ealing","328","70","107","57","84","16","10","126","0","63",NA,"861","November 2012"
"214","East Riding Of Yorkshire","176","52","25","31","9","21","22","215","30","40",NA,"621","November 2012"
"815","East Sussex","116","83","439","99","160","107","35","283","13","17",NA,"1352","November 2012"
"723","Enfield","2","1","45","11","1","11","19","129","0","0",NA,"219","November 2012"
"620","Essex","634","305","522","187","62","40","18","391","30","19",NA,"2208","November 2012"
"106","Gateshead","32","0","43","30","132","24","1","0","0","0",NA,"262","November 2012"
"904","Gloucestershire","32","16","630","76","440","246","29","57","7","27",NA,"1560","November 2012"
"703","Greenwich","16","0","117","116","27","8","0","40","0","0",NA,"324","November 2012"
"704","Hackney","60","21","34","342","86","54","7","45","0","0",NA,"649","November 2012"
"321","Halton","30","0","41","15","0","0","0","8","0","0",NA,"94","November 2012"
"705","Hammersmith & Fulham","75","0","122","65","55","9","0","8","0","0",NA,"334","November 2012"
"812","Hampshire","553","134","195","151","290","264","118","505","38","115",NA,"2363","November 2012"
"724","Haringey","57","49","56","81","25","22","13","15","27","31",NA,"376","November 2012"
"725","Harrow","29","55","245","130","51","0","19","21","28","39",NA,"617","November 2012"
"111","Hartlepool","8","19","20","11","23","0","0","14","11","10",NA,"116","November 2012"
"726","Havering","208","8","70","111","32","6","27","5","10","0",NA,"477","November 2012"
"415","Herefordshire","2","0","87","20","0","60","10","62","0","0",NA,"241","November 2012"
"606","Hertfordshire","405","64","920","758","297","474","74","567","76","175",NA,"3810","November 2012"
"727","Hillingdon","69","0","47","93","9","0","12","0","0","30",NA,"260","November 2012"
"728","Hounslow","29","23","69","24","2","7","0","19","0","10",NA,"183","November 2012"
"803","Isle of Wight","0","0","0","0","0","0","0","0","0","0",NA,"0","November 2012"
"706","Islington","7","6","58","11","28","0","3","20","0","6",NA,"139","November 2012"
"707","Kensington & Chelsea","9","31","32","109","1","0","0","28","0","0",NA,"210","November 2012"
"820","Kent","321","162","472","264","199","132","246","605","18","426",NA,"2845","November 2012"
"215","Kingston Upon Hull","319","47","42","26","15","0","1","137","4","21",NA,"612","November 2012"
"729","Kingston Upon Thames","1","0","121","3","18","37","0","0","8","0",NA,"188","November 2012"
"211","Kirklees","469","44","88","33","90","35","49","53","0","0",NA,"861","November 2012"
"315","Knowsley","0","0","40","1","0","7","17","35","0","32",NA,"132","November 2012"
"708","Lambeth","80","60","116","0","26","28","4","24","30","0",NA,"368","November 2012"
"323","Lancashire","620","94","232","9","131","119","32","602","298","119",NA,"2256","November 2012"
"212","Leeds","531","75","697","90","139","148","53","206","24","104",NA,"2067","November 2012"
"509","Leicester","170","68","253","213","154","21","61","79","0","0",NA,"1019","November 2012"
"508","Leicestershire","390","76","303","155","224","85","82","257","3","0",NA,"1575","November 2012"
"709","Lewisham","42","0","193","60","46","0","0","33","0","0",NA,"374","November 2012"
"503","Lincolnshire","331","80","161","195","121","213","163","210","72","112",NA,"1658","November 2012"
"316","Liverpool","10","39","109","159","91","132","36","88","1","96",NA,"761","November 2012"
"611","Luton","218","0","66","63","23","24","4","120","13","0",NA,"531","November 2012"
"306","Manchester","151","90","52","101","55","26","8","99","30","184",NA,"796","November 2012"
"821","Medway","6","41","7","42","11","0","4","41","0","23",NA,"175","November 2012"
"730","Merton","7","2","30","61","25","0","10","15","0","0",NA,"150","November 2012"
"112","Middlesbrough","91","15","180","34","42","20","10","62","0","0",NA,"454","November 2012"
"613","Milton Keynes","13","17","0","54","105","83","0","57","0","0",NA,"329","November 2012"
"107","Newcastle Upon Tyne","15","30","69","155","46","136","9","43","0","28",NA,"531","November 2012"
"731","Newham","125","8","11","98","4","5","3","18","29","0",NA,"301","November 2012"
"607","Norfolk","603","103","628","178","269","183","101","113","30","98",NA,"2306","November 2012"
"216","North East Lincolnshire","139","19","43","0","0","13","5","23","0","31",NA,"273","November 2012"
"217","North Lincolnshire","14","8","9","0","0","0","4","41","0","0",NA,"76","November 2012"
"910","North Somerset","75","0","88","6","99","63","18","79","2","2",NA,"432","November 2012"
"108","North Tyneside","30","0","33","90","0","56","0","52","0","0",NA,"261","November 2012"
"218","North Yorkshire","278","194","169","111","96","90","47","113","0","34",NA,"1132","November 2012"
"504","Northamptonshire","912","269","834","231","208","91","74","190","25","0",NA,"2834","November 2012"
"104","Northumberland","55","0","78","64","25","115","15","12","0","0",NA,"364","November 2012"
"512","Nottingham","58","12","302","38","67","150","29","173","29","75",NA,"933","November 2012"
