"Code","Name","Awaiting completion of assessment","Awaiting public funding","Awaiting further NHS non-acute care","Awaiting residential home placement or availability","Awaiting nursing home placement or availability","Awaiting care package in own home","Awaiting community equipment and adaptations","Patient or family choice","Disputes","Housing - Patients not covered by NHS and Community Care Act","Other","Total Delayed Transfers of Care","Period"
"723","Enfield","136","0","41","0","0","10","24","19","18","4",NA,"252","April 2011"
"620","Essex","341","120","371","45","38","80","97","685","0","90",NA,"1867","April 2011"
"106","Gateshead","65","0","56","30","0","0","0","41","0","30",NA,"222","April 2011"
"904","Gloucestershire","245","72","726","193","207","295","26","130","25","54",NA,"1973","April 2011"
"703","Greenwich","9","27","17","37","21","44","0","110","28","7",NA,"300","April 2011"
"704","Hackney","31","0","6","39","36","4","0","32","0","0",NA,"148","April 2011"
"321","Halton","7","0","35","0","33","1","4","43","0","0",NA,"123","April 2011"
"705","Hammersmith & Fulham","2","6","23","8","2","0","1","0","0","203",NA,"245","April 2011"
"812","Hampshire","646","207","162","301","637","240","116","365","39","115",NA,"2828","April 2011"
"724","Haringey","79","189","20","6","32","0","33","41","0","16",NA,"416","April 2011"
"725","Harrow","25","56","149","0","2","0","0","22","14","19",NA,"287","April 2011"
"111","Hartlepool","4","30","38","0","0","0","6","0","0","19",NA,"97","April 2011"
"726","Havering","162","43","59","29","50","26","23","7","0","0",NA,"399","April 2011"
"415","Herefordshire","33","0","28","7","10","22","0","6","0","0",NA,"106","April 2011"
"606","Hertfordshire","666","98","396","625","201","384","177","291","0","181",NA,"3019","April 2011"
"727","Hillingdon","96","37","30","154","123","0","0","0","74","30",NA,"544","April 2011"
"728","Hounslow","133","0","6","10","18","18","9","52","0","73",NA,"319","April 2011"
"803","Isle of Wight","0","0","0","0","0","0","0","0","0","0",NA,"0","April 2011"
"706","Islington","25","0","72","22","17","10","15","30","11","0",NA,"202","April 2011"
"707","Kensington & Chelsea","22","0","21","43","0","0","0","14","0","4",NA,"104","April 2011"
"820","Kent","199","227","319","341","387","66","50","438","72","204",NA,"2303","April 2011"
"215","Kingston Upon Hull","278","35","27","111","56","35","49","169","0","38",NA,"798","April 2011"
"729","Kingston Upon Thames","30","30","89","0","8","26","0","0","0","0",NA,"183","April 2011"
"211","Kirklees","4","60","43","43","20","2","20","60","7","0",NA,"259","April 2011"
"315","Knowsley","1","0","0","23","0","11","4","23","0","71",NA,"133","April 2011"
"708","Lambeth","80","0","64","54","19","14","0","51","0","7",NA,"289","April 2011"
"323","Lancashire","320","30","755","33","24","88","109","760","88","230",NA,"2437","April 2011"
"212","Leeds","420","96","339","58","63","123","17","162","66","69",NA,"1413","April 2011"
"509","Leicester","141","147","135","9","139","91","7","134","28","0",NA,"831","April 2011"
"508","Leicestershire","151","148","125","52","105","62","36","68","0","2",NA,"749","April 2011"
"709","Lewisham","13","1","31","0","0","14","0","65","0","7",NA,"131","April 2011"
"503","Lincolnshire","313","89","166","167","107","506","127","309","85","56",NA,"1925","April 2011"
"316","Liverpool","62","0","28","222","17","141","40","83","16","101",NA,"710","April 2011"
"611","Luton","141","6","60","60","24","5","0","100","47","57",NA,"500","April 2011"
"306","Manchester","126","1","158","83","7","176","52","1","90","92",NA,"786","April 2011"
"821","Medway","18","14","12","60","27","7","0","26","0","90",NA,"254","April 2011"
"730","Merton","0","0","158","5","5","0","0","36","7","30",NA,"241","April 2011"
"112","Middlesbrough","0","19","405","0","23","0","0","30","0","0",NA,"477","April 2011"
"613","Milton Keynes","19","14","30","31","139","80","25","7","0","36",NA,"381","April 2011"
"107","Newcastle Upon Tyne","79","0","90","60","159","147","50","91","0","35",NA,"711","April 2011"
"731","Newham","42","122","25","142","50","11","25","53","13","0",NA,"483","April 2011"
"607","Norfolk","262","52","413","187","169","107","34","188","0","0",NA,"1412","April 2011"
"216","North East Lincolnshire","47","27","91","14","0","46","36","12","0","0",NA,"273","April 2011"
"217","North Lincolnshire","82","78","35","0","0","4","12","22","0","0",NA,"233","April 2011"
"910","North Somerset","28","0","57","0","31","65","38","42","0","0",NA,"261","April 2011"
"108","North Tyneside","5","0","77","78","34","6","7","0","0","0",NA,"207","April 2011"
"218","North Yorkshire","34","75","235","87","55","18","3","118","40","192",NA,"857","April 2011"
"504","Northamptonshire","467","164","247","85","143","127","133","38","0","0",NA,"1404","April 2011"
"104","Northumberland","0","130","44","120","20","94","26","0","60","0",NA,"494","April 2011"
"512","Nottingham","36","22","495","279","69","147","13","114","30","100",NA,"1305","April 2011"
"511","Nottinghamshire","193","122","505","231","108","506","35","436","0","108",NA,"2244","April 2011"
"307","Oldham","0","40","27","32","0","0","5","50","0","0",NA,"154","April 2011"
"608","Oxfordshire","202","65","1276","260","475","1404","16","194","8","129",NA,"4029","April 2011"
"624","Peterborough","53","0","11","13","0","91","0","33","49","0",NA,"250","April 2011"
"913","Plymouth","153","5","88","0","0","11","13","76","3","0",NA,"349","April 2011"
"811","Poole","122","54","406","51","85","229","0","30","0","0",NA,"977","April 2011"
"813","Portsmouth","22","14","4","5","27","2","0","49","0","7",NA,"130","April 2011"
"616","Reading","14","0","14","126","62","4","0","43","18","30",NA,"311","April 2011"
"732","Redbridge","196","0","35","163","43","0","34","26","2","41",NA,"540","April 2011"
"113","Redcar & Cleveland","17","33","299","30","9","0","5","125","0","0",NA,"518","April 2011"
"733","Richmond Upon Thames","12","0","13","4","10","0","0","0","11","0",NA,"50","April 2011"
"308","Rochdale","1","32","85","30","0","8","4","52","15","0",NA,"227","April 2011"
"206","Rotherham","34","62","0","26","0","0","7","53","0","30",NA,"212","April 2011"
"510","Rutland","10","6","0","0","15","0","0","9","0","0",NA,"40","April 2011"
"309","Salford","17","0","260","49","0","9","0","21","0","65",NA,"421","April 2011"
"409","Sandwell","582","84","36","203","189","233","51","264","23","64",NA,"1729","April 2011"
"317","Sefton","0","32","78","31","0","45","2","151","0","0",NA,"339","April 2011"
"207","Sheffield","10","34","87","60","23","178","0","42","0","0",NA,"434","April 2011"
"417","Shropshire","47","70","15","47","73","41","24","123","10","7",NA,"457","April 2011"
"617","Slough","81","21","19","0","0","0","0","0","0","25",NA,"146","April 2011"
"410","Solihull","223","60","87","103","162","26","3","216","2","0",NA,"882","April 2011"
"905","Somerset","167","77","143","116","76","28","16","189","1","63",NA,"876","April 2011"
"911","South Gloucestershire","230","30","11","38","135","74","15","59","0","28",NA,"620","April 2011"
"109","South Tyneside","30","30","102","0","30","46","0","30","0","0",NA,"268","April 2011"
"814","Southampton","115","37","165","27","77","57","26","369","34","9",NA,"916","April 2011"
"621","Southend","17","14","14","87","29","1","2","27","29","0",NA,"220","April 2011"
"710","Southwark","0","0","11","30","0","60","2","31","0","0",NA,"134","April 2011"
"318","St Helens","1","3","3","44","4","30","0","108","0","9",NA,"202","April 2011"
"413","Staffordshire","380","78","232","41","115","449","47","302","0","38",NA,"1682","April 2011"
"310","Stockport","74","0","68","30","0","2","34","339","0","84",NA,"631","April 2011"
"114","Stockton On Tees","46","15","25","12","24","10","21","18","0","4",NA,"175","April 2011"
"414","Stoke-On-Trent","104","13","111","0","3","86","40","202","0","46",NA,"605","April 2011"
"609","Suffolk","264","52","37","89","36","107","52","218","0","25",NA,"880","April 2011"
"110","Sunderland","285","2","21","51","60","56","64","14","30","199",NA,"782","April 2011"
"805","Surrey","1080","325","337","189","283","198","59","529","89","224",NA,"3313","April 2011"
"734","Sutton","51","7","44","33","23","7","16","22","14","0",NA,"217","April 2011"
"819","Swindon","120","49","58","49","40","60","7","51","0","0",NA,"434","April 2011"
"311","Tameside","2","4","22","1","0","1","0","20","0","0",NA,"50","April 2011"
"418","Telford & Wrekin","28","0","0","24","243","17","0","8","13","0",NA,"333","April 2011"
"622","Thurrock","102","0","47","29","1","0","3","23","0","0",NA,"205","April 2011"
"914","Torbay","0","0","82","0","5","0","0","0","0","0",NA,"87","April 2011"
"711","Tower Hamlets","45","9","99","5","48","16","25","21","0","31",NA,"299","April 2011"
"312","Trafford","107","21","6","22","10","308","58","103","8","0",NA,"643","April 2011"
"213","Wakefield","35","139","217","48","29","21","24","124","0","0",NA,"637","April 2011"
"411","Walsall","134","14","23","158","52","88","0","21","0","17",NA,"507","April 2011"
"735","Waltham Forest","38","0","78","14","7","24","0","15","0","3",NA,"179","April 2011"
"712","Wandsworth","30","48","14","32","46","129","20","16","0","0",NA,"335","April 2011"
"322","Warrington","0","0","12","0","29","0","1","21","0","0",NA,"63","April 2011"
"404","Warwickshire","494","76","539","291","262","218","53","263","7","31",NA,"2234","April 2011"
"615","West Berkshire","43","88","112","92","167","39","25","0","47","0",NA,"613","April 2011"
"807","West Sussex","414","294","593","329","245","197","79","203","91","309",NA,"2754","April 2011"
"713","Westminster","41","0","32","45","10","0","0","6","28","18",NA,"180","April 2011"
"313","Wigan","80","47","183","0","83","62","0","82","7","62",NA,"606","April 2011"
"817","Wiltshire","30","110","51","453","305","26","0","102","21","15",NA,"1113","April 2011"
"618","Windsor & Maidenhead","84","55","14","3","7","34","0","0","0","3",NA,"200","April 2011"
"319","Wirral","90","0","28","3","2","27","0","2","0","0",NA,"152","April 2011"
"619","Wokingham","32","12","6","10","10","26","0","0","0","0",NA,"96","April 2011"
"412","Wolverhampton","316","27","110","33","65","18","7","122","3","34",NA,"735","April 2011"
"416","Worcestershire","339","187","265","243","411","172","43","142","0","34",NA,"1836","April 2011"
"219","York","0","0","0","232","190","122","20","41","60","0",NA,"665","April 2011"
"-","England","21183","6406","20983","13354","11460","10957","3275","14277","1959","4628",NA,"108482","April 2012"
"716","Barking & Dagenham","75","54","48","55","38","31","18","9","7","0",NA,"335","April 2012"
"717","Barnet","12","86","111","91","27","5","12","132","0","27",NA,"503","April 2012"
"204","Barnsley","9","0","34","0","0","0","17","0","24","0",NA,"84","April 2012"
"908","Bath & North East Somerset","43","58","63","27","173","68","19","51","27","0",NA,"529","April 2012"
"00KB","Bedford","28","26","41","16","8","16","3","45","0","67",NA,"250","April 2012"
"718","Bexley","11","0","3","0","0","0","14","88","30","30",NA,"176","April 2012"
"406","Birmingham","578","216","152","702","782","711","335","548","58","253",NA,"4335","April 2012"
"324","Blackburn With Darwen","27","33","56","0","0","0","0","0","0","14",NA,"130","April 2012"
"325","Blackpool","116","11","37","26","19","43","35","4","0","0",NA,"291","April 2012"
"304","Bolton","70","0","132","0","14","5","1","49","0","0",NA,"271","April 2012"
"810","Bournemouth","0","99","28","19","15","69","0","4","0","12",NA,"246","April 2012"
"614","Bracknell Forest","61","56","48","0","30","30","0","7","0","0",NA,"232","April 2012"
"209","Bradford","64","20","113","0","0","20","0","67","30","0",NA,"314","April 2012"
"719","Brent","83","5","25","140","38","0","57","15","42","16",NA,"421","April 2012"
"816","Brighton & Hove","45","7","151","150","42","70","27","148","76","71",NA,"787","April 2012"
"909","Bristol","197","40","192","65","104","53","26","72","5","24",NA,"778","April 2012"
"720","Bromley","15","0","26","0","29","24","9","42","0","0",NA,"145","April 2012"
"612","Buckinghamshire","97","26","237","152","131","162","35","62","0","0",NA,"902","April 2012"
"305","Bury","0","19","7","30","6","144","0","49","0","0",NA,"255","April 2012"
"210","Calderdale","133","34","79","33","1","173","8","132","0","0",NA,"593","April 2012"
"623","Cambridgeshire","444","102","237","435","217","602","18","73","9","39",NA,"2176","April 2012"
"702","Camden","74","1","31","12","6","0","0","12","0","12",NA,"148","April 2012"
"00KC","Central Bedfordshire","135","0","86","29","41","4","4","56","19","0",NA,"374","April 2012"
"00EQ","Cheshire East","75","107","201","76","73","20","9","111","9","0",NA,"681","April 2012"
"00EW","Cheshire West And Chester","20","71","93","18","84","0","1","115","0","25",NA,"427","April 2012"
"902","Cornwall","489","126","711","12","136","42","61","129","0","13",NA,"1719","April 2012"
"407","Coventry","224","30","400","111","345","97","24","136","0","0",NA,"1367","April 2012"
"721","Croydon","90","60","85","18","0","0","21","0","28","0",NA,"302","April 2012"
"102","Cumbria","568","128","360","271","376","145","17","20","37","54",NA,"1976","April 2012"
"117","Darlington","168","0","184","4","2","5","10","13","0","0",NA,"386","April 2012"
"507","Derby","60","13","41","14","10","0","31","102","77","0",NA,"348","April 2012"
"506","Derbyshire","200","90","91","191","93","285","49","249","93","13",NA,"1354","April 2012"
"912","Devon","491","123","830","250","137","91","39","146","0","30",NA,"2137","April 2012"
"205","Doncaster","49","84","37","25","9","0","25","85","0","0",NA,"314","April 2012"
"809","Dorset","111","71","121","284","186","72","15","46","9","98",NA,"1013","April 2012"
"408","Dudley","96","101","0","197","45","65","29","116","7","28",NA,"684","April 2012"
"116","Durham","237","31","359","42","6","15","58","118","0","72",NA,"938","April 2012"
"722","Ealing","227","158","9","96","59","24","12","60","0","94",NA,"739","April 2012"
"214","East Riding Of Yorkshire","255","11","104","41","1","18","16","211","7","4",NA,"668","April 2012"
"815","East Sussex","150","219","507","76","104","137","29","194","18","33",NA,"1467","April 2012"
"723","Enfield","40","129","55","64","31","15","4","77","0","0",NA,"415","April 2012"
"620","Essex","255","188","389","79","40","67","28","683","29","19",NA,"1777","April 2012"
"106","Gateshead","30","30","0","3","47","66","0","97","0","0",NA,"273","April 2012"
"904","Gloucestershire","7","36","737","46","547","220","23","52","4","14",NA,"1686","April 2012"
"703","Greenwich","13","0","97","37","16","26","0","90","7","0",NA,"286","April 2012"
"704","Hackney","20","0","0","16","30","113","0","20","30","0",NA,"229","April 2012"
"321","Halton","22","0","60","30","0","19","12","1","0","30",NA,"174","April 2012"
"705","Hammersmith & Fulham","27","0","22","9","67","7","0","0","0","272",NA,"404","April 2012"
"812","Hampshire","509","132","89","212","227","252","135","356","42","139",NA,"2093","April 2012"
"724","Haringey","30","88","84","60","8","0","6","46","0","8",NA,"330","April 2012"
"725","Harrow","24","30","65","238","24","1","0","11","7","49",NA,"449","April 2012"
"111","Hartlepool","28","3","3","0","66","0","3","5","0","20",NA,"128","April 2012"
"726","Havering","317","12","167","139","72","6","27","5","0","0",NA,"745","April 2012"
"415","Herefordshire","9","51","82","4","22","21","3","0","0","0",NA,"192","April 2012"
"606","Hertfordshire","308","89","516","477","315","304","114","354","0","128",NA,"2605","April 2012"
"727","Hillingdon","120","0","40","149","53","7","0","0","30","6",NA,"405","April 2012"
"728","Hounslow","40","0","22","29","30","14","2","30","0","99",NA,"266","April 2012"
"803","Isle of Wight","0","0","0","0","0","0","7","0","0","0",NA,"7","April 2012"
"706","Islington","15","0","16","28","4","0","12","15","0","0",NA,"90","April 2012"
"707","Kensington & Chelsea","32","0","10","333","3","30","0","9","20","89",NA,"526","April 2012"
"820","Kent","494","172","492","324","211","146","146","441","20","150",NA,"2596","April 2012"
"215","Kingston Upon Hull","421","8","92","60","0","0","9","280","30","30",NA,"930","April 2012"
"729","Kingston Upon Thames","92","0","31","84","0","3","0","7","0","0",NA,"217","April 2012"
"211","Kirklees","136","28","174","41","116","58","34","131","0","27",NA,"745","April 2012"
"315","Knowsley","12","0","48","30","19","0","0","0","0","22",NA,"131","April 2012"
"708","Lambeth","157","21","139","9","7","64","15","70","101","10",NA,"593","April 2012"
"323","Lancashire","332","134","377","117","275","134","123","319","87","147",NA,"2045","April 2012"
"212","Leeds","210","31","390","10","60","146","40","93","9","83",NA,"1072","April 2012"
"509","Leicester","90","102","85","94","58","13","12","40","0","29",NA,"523","April 2012"
"508","Leicestershire","118","76","185","129","82","27","9","136","0","0",NA,"762","April 2012"
"709","Lewisham","0","0","133","0","14","0","0","7","20","0",NA,"174","April 2012"
"503","Lincolnshire","464","158","248","35","60","217","112","182","15","16",NA,"1507","April 2012"
"316","Liverpool","26","138","190","131","186","105","12","155","22","31",NA,"996","April 2012"
"611","Luton","236","0","100","64","7","4","5","28","4","0",NA,"448","April 2012"
"306","Manchester","57","20","88","115","22","207","33","108","0","178",NA,"828","April 2012"
"821","Medway","60","18","7","14","14","8","3","70","0","141",NA,"335","April 2012"
"730","Merton","14","0","29","35","0","6","0","10","0","35",NA,"129","April 2012"
"112","Middlesbrough","11","0","328","19","35","20","0","0","0","0",NA,"413","April 2012"
"613","Milton Keynes","34","0","0","33","66","48","23","8","0","12",NA,"224","April 2012"
"107","Newcastle Upon Tyne","86","30","136","29","23","55","0","119","0","51",NA,"529","April 2012"
"731","Newham","61","30","86","240","7","7","0","22","14","3",NA,"470","April 2012"
"607","Norfolk","428","24","428","306","131","89","11","125","0","55",NA,"1597","April 2012"
"216","North East Lincolnshire","161","30","163","0","0","19","9","3","0","30",NA,"415","April 2012"
"217","North Lincolnshire","6","0","0","0","1","1","4","3","0","0",NA,"15","April 2012"
"910","North Somerset","125","0","64","13","55","14","4","85","90","37",NA,"487","April 2012"
"108","North Tyneside","10","14","97","30","0","12","7","42","0","30",NA,"242","April 2012"
"218","North Yorkshire","316","67","247","131","182","77","17","64","0","55",NA,"1156","April 2012"
"504","Northamptonshire","611","186","342","234","149","91","45","118","0","0",NA,"1776","April 2012"
"104","Northumberland","0","30","19","169","12","100","0","40","0","0",NA,"370","April 2012"
"512","Nottingham","101","0","326","69","65","111","71","58","0","131",NA,"932","April 2012"
"511","Nottinghamshire","916","175","583","244","118","639","167","240","2","85",NA,"3169","April 2012"
"307","Oldham","0","30","4","72","13","0","0","23","1","6",NA,"149","April 2012"
"608","Oxfordshire","1034","15","2163","524","616","846","43","428","7","99",NA,"5775","April 2012"
"624","Peterborough","59","7","16","4","8","3","0","56","30","12",NA,"195","April 2012"
"913","Plymouth","62","0","117","0","0","0","10","65","0","0",NA,"254","April 2012"
"811","Poole","60","54","176","106","45","68","3","83","0","7",NA,"602","April 2012"
"813","Portsmouth","24","10","13","65","45","0","9","55","0","0",NA,"221","April 2012"
"616","Reading","14","0","26","11","62","14","31","0","8","0",NA,"166","April 2012"
"732","Redbridge","127","0","92","103","67","0","13","2","0","0",NA,"404","April 2012"
"113","Redcar & Cleveland","12","11","316","39","32","0","0","75","18","0",NA,"503","April 2012"
"733","Richmond Upon Thames","76","17","80","0","22","6","9","6","0","39",NA,"255","April 2012"
"308","Rochdale","25","0","39","12","0","9","0","6","30","0",NA,"121","April 2012"
"206","Rotherham","28","5","0","0","18","16","2","96","0","0",NA,"165","April 2012"
"510","Rutland","35","39","23","0","0","18","6","5","0","11",NA,"137","April 2012"
"309","Salford","0","21","187","45","0","13","0","49","0","0",NA,"315","April 2012"
"409","Sandwell","367","119","5","130","85","82","27","185","15","6",NA,"1021","April 2012"
"317","Sefton","5","0","69","0","30","44","0","106","0","0",NA,"254","April 2012"
"207","Sheffield","105","53","89","30","39","38","0","118","0","0",NA,"472","April 2012"
"417","Shropshire","53","70","12","122","79","79","31","77","0","30",NA,"553","April 2012"
"617","Slough","79","0","39","13","36","10","63","41","0","56",NA,"337","April 2012"
"410","Solihull","107","66","86","97","77","35","20","88","0","0",NA,"576","April 2012"
"905","Somerset","61","14","120","143","74","30","7","132","25","21",NA,"627","April 2012"
"911","South Gloucestershire","141","19","30","33","131","92","3","60","0","16",NA,"525","April 2012"
"109","South Tyneside","0","0","0","45","30","30","0","4","0","0",NA,"109","April 2012"
"814","Southampton","180","33","161","3","40","120","12","251","107","28",NA,"935","April 2012"
"621","Southend","4","0","29","0","0","29","3","11","0","0",NA,"76","April 2012"
"710","Southwark","74","65","19","61","1","0","1","81","30","1",NA,"333","April 2012"
"318","St Helens","12","45","12","7","37","42","18","93","0","0",NA,"266","April 2012"
"413","Staffordshire","312","43","278","135","66","246","46","372","8","84",NA,"1590","April 2012"
"310","Stockport","76","0","54","5","15","12","15","418","0","16",NA,"611","April 2012"
"114","Stockton On Tees","36","5","12","0","75","0","13","37","0","0",NA,"178","April 2012"
"414","Stoke-On-Trent","38","11","41","11","7","118","17","209","0","49",NA,"501","April 2012"
"609","Suffolk","98","19","230","198","75","151","45","303","0","35",NA,"1154","April 2012"
"110","Sunderland","275","34","0","120","60","136","30","25","4","43",NA,"727","April 2012"
"805","Surrey","1002","192","518","316","305","239","28","575","70","32",NA,"3277","April 2012"
"734","Sutton","6","33","8","0","8","20","33","93","7","7",NA,"215","April 2012"
"819","Swindon","2","21","55","98","65","17","7","122","0","0",NA,"387","April 2012"
"311","Tameside","17","3","4","30","0","0","0","0","0","0",NA,"54","April 2012"
"418","Telford & Wrekin","0","2","0","13","30","1","0","0","0","0",NA,"46","April 2012"
"622","Thurrock","107","1","34","83","119","15","7","19","0","3",NA,"388","April 2012"
"914","Torbay","0","0","36","0","0","0","3","0","0","0",NA,"39","April 2012"
"711","Tower Hamlets","144","135","42","49","7","27","11","40","35","0",NA,"490","April 2012"
"312","Trafford","9","0","39","33","81","115","40","6","0","0",NA,"323","April 2012"
"213","Wakefield","27","42","298","67","48","6","22","150","0","37",NA,"697","April 2012"
"411","Walsall","202","0","1","157","6","122","6","23","0","35",NA,"552","April 2012"
"735","Waltham Forest","35","0","48","13","14","0","0","20","0","1",NA,"131","April 2012"
"712","Wandsworth","8","0","132","49","5","2","0","5","0","0",NA,"201","April 2012"
"322","Warrington","110","0","72","0","15","0","17","17","0","0",NA,"231","April 2012"
"404","Warwickshire","532","97","236","196","345","65","68","362","22","29",NA,"1952","April 2012"
"615","West Berkshire","181","0","91","93","179","101","0","51","30","71",NA,"797","April 2012"
"807","West Sussex","658","216","106","254","233","259","35","208","141","185",NA,"2295","April 2012"
"713","Westminster","38","0","53","291","54","0","0","0","83","27",NA,"546","April 2012"
"313","Wigan","61","0","48","30","7","1","20","25","0","182",NA,"374","April 2012"
"817","Wiltshire","202","143","38","179","289","297","22","62","21","37",NA,"1290","April 2012"
"618","Windsor & Maidenhead","21","0","0","36","42","3","6","0","0","46",NA,"154","April 2012"
"319","Wirral","83","21","51","13","5","6","0","8","0","11",NA,"198","April 2012"
"619","Wokingham","6","0","66","30","22","13","10","1","0","0",NA,"148","April 2012"
"412","Wolverhampton","315","92","51","164","73","33","29","182","0","0",NA,"939","April 2012"
"416","Worcestershire","280","0","182","429","409","126","63","148","11","70",NA,"1718","April 2012"
"219","York","75","0","18","97","183","354","0","227","54","0",NA,"1008","April 2012"
"-","England","22194","5552","25853","13388","11487","11188","3346","14875","1407","4007",NA,"113297","April 2013"
"507","Derby","191","7","100","94","9","32","20","79","2","13",NA,"547","April 2013"
"506","Derbyshire","554","99","392","316","182","420","101","277","4","11",NA,"2356","April 2013"
"509","Leicester","295","62","556","95","42","29","66","40","0","3",NA,"1188","April 2013"
"508","Leicestershire","163","93","595","74","191","22","45","144","0","0",NA,"1327","April 2013"
"503","Lincolnshire","290","31","320","88","54","276","108","200","24","166",NA,"1557","April 2013"
"504","Northamptonshire","1052","173","603","247","99","89","46","196","6","13",NA,"2524","April 2013"
"512","Nottingham","119","60","285","102","65","131","4","113","31","127",NA,"1037","April 2013"
"511","Nottinghamshire","663","106","717","34","153","372","156","525","46","118",NA,"2890","April 2013"
"510","Rutland","65","0","6","4","0","16","0","6","0","3",NA,"100","April 2013"
"00KB","Bedford","11","0","16","21","57","2","0","41","0","3",NA,"151","April 2013"
"623","Cambridgeshire","687","208","389","452","135","588","45","92","55","0",NA,"2651","April 2013"
"00KC","Central Bedfordshire","162","0","36","5","37","58","0","132","0","30",NA,"460","April 2013"
"620","Essex","441","128","559","146","59","73","53","414","30","0",NA,"1903","April 2013"
"606","Hertfordshire","489","43","744","762","380","641","102","332","34","124",NA,"3651","April 2013"
"611","Luton","175","0","22","94","0","2","0","52","37","0",NA,"382","April 2013"
"607","Norfolk","746","30","916","313","224","287","167","215","0","93",NA,"2991","April 2013"
"624","Peterborough","249","5","54","34","32","3","35","78","69","0",NA,"559","April 2013"
"621","Southend","90","48","34","0","0","0","2","14","30","0",NA,"218","April 2013"
"609","Suffolk","243","26","183","295","37","230","65","276","0","41",NA,"1396","April 2013"
"622","Thurrock","8","14","69","0","23","0","0","0","0","0",NA,"114","April 2013"
"716","Barking & Dagenham","38","0","94","60","32","0","6","40","0","0",NA,"270","April 2013"
"717","Barnet","100","47","300","50","27","20","12","128","0","15",NA,"699","April 2013"
"718","Bexley","43","14","64","60","0","0","0","154","0","0",NA,"335","April 2013"
"719","Brent","58","36","118","111","68","29","57","22","31","30",NA,"560","April 2013"
"720","Bromley","5","6","104","1","0","0","0","87","7","1",NA,"211","April 2013"
